theme, title, catid, link_
"RAMP","Pacific Reef Assessment and Monitoring Program: Calcification Rates of Crustose Coralline Algae Derived from Calcification Accretion Units (CAUs) Deployed across American Samoa and the Pacific Remote Island Areas in 2010",26945,"https://www.fisheries.noaa.gov/inport/item/26945"
"RAMP","Pacific Reef Assessment and Monitoring Program: Geospatial, Temperature, and Depth Data Collected during Towed-diver Surveys of the U.S. Pacific Reefs from 2000 to 2017",25298,"https://www.fisheries.noaa.gov/inport/item/25298"
"RAMP","Pacific Reef Assessment and Monitoring Program: Rapid Ecological Assessment Quadrat Surveys of Corals around the Marianas Islands from 2003 to 2007",24527,"https://www.fisheries.noaa.gov/inport/item/24527"
"RAMP","Pacific Reef Assessment and Monitoring Program: Rapid Ecological Assessments of Fish Belt Transect Surveys (BLT) at Coral Reef Sites across the Pacific Ocean from 2000 to 2009",5565,"https://www.fisheries.noaa.gov/inport/item/5565"
"RAMP","Pacific Reef Assessment and Monitoring Program: Rapid Ecological Assessments of Fish Large-Area Stationary Point Count Surveys (SPC) at Coral Reef Sites across the Pacific Ocean from 2000 to 2007",5566,"https://www.fisheries.noaa.gov/inport/item/5566"
"RAMP","Pacific Reef Assessment and Monitoring Program: Shallow Water Conductivity-Temperature-Depth (CTD) Profiles for selected locations in the Pacific",36759,"https://www.fisheries.noaa.gov/inport/item/36759"
"RAMP","Pacific Reef Assessment and Monitoring Program: Sightings of Marine Species of Interest during Towed-diver Surveys of the U.S. Pacific Reefs from 2000 to 2017",25301,"https://www.fisheries.noaa.gov/inport/item/25301"
"RAMP","Pacific Reef Assessment and Monitoring Program: Stratified Random Surveys (StRS) of Reef Fish, including Benthic Estimate Data at Coral Reef Sites across the Pacific Ocean from 2007 to 2012",34515,"https://www.fisheries.noaa.gov/inport/item/34515"
"RAMP","Pacific Reef Assessment and Monitoring Program: Towed-diver Surveys of Benthic Habitat, Key Benthic Species, including Marine Debris Sightings, of the U.S. Pacific Reefs from 2000 to 2012",35618,"https://www.fisheries.noaa.gov/inport/item/35618"
"RAMP","Pacific Reef Assessment and Monitoring Program: Towed-diver Surveys of Large-bodied Fishes of the U.S. Pacific Reefs from 2000 to 2012",34521,"https://www.fisheries.noaa.gov/inport/item/34521"
"RAMP","Pacific Reef Assessment and Monitoring Program: Water Chemistry of the Coral Reefs across the U.S.-affiliated Pacific Islands from Water Samples collected from 2012 to 2014",25253,"https://www.fisheries.noaa.gov/inport/item/25253"
"RAMP","Pacific Reef Monitoring and Assessment Program: Line-Point-Intercept (LPI) Surveys for Benthic Cover at Coral Reef Sites across the Pacific Ocean from 2005 to 2012",25261,"https://www.fisheries.noaa.gov/inport/item/25261"
"","Rebreather Fish Surveys in American Samoa from 2016-04-15 to 2016-05-05",35774,"https://www.fisheries.noaa.gov/inport/item/35774"
"","Rebreather Fish Surveys in the Main Hawaiian Islands from 2015-06-14 to 2015-08-13",32874,"https://www.fisheries.noaa.gov/inport/item/32874"
"","Reefs for the future: Resilience of coral reefs in the main Hawaiian Islands",23147,"https://www.fisheries.noaa.gov/inport/item/23147"
"","Rugosity Grid Derived from Gridded Bathymetry for Select U.S. Coral Reef Locations across the Pacific Ocean",12615,"https://www.fisheries.noaa.gov/inport/item/12615"
"","Satellite Tagged Net Locations NWHI 2018 - 2021",63206,"https://www.fisheries.noaa.gov/inport/item/63206"
"","Satellite-derived bathymetry for nearshore benthic habitats in Timor-Leste",46150,"https://www.fisheries.noaa.gov/inport/item/46150"
"","Scleractinian Coral Cover Maps Derived from Classified in situ Seafloor Imagery for Select U.S. Locations in the Pacific from 2001 to 2015",33579,"https://www.fisheries.noaa.gov/inport/item/33579"
"","Seafloor substrate (hard and soft bottom) maps at select islands and atolls in American Samoa, the Mariana Archipelago, and the Pacific Remote Island Areas",34310,"https://www.fisheries.noaa.gov/inport/item/34310"
"","Seafloor substrate (hard and soft bottom) maps derived from satellite imagery for the islands and atolls of the Pacific Remote Island Areas",54217,"https://www.fisheries.noaa.gov/inport/item/54217"
"LBSP","Shallow Water Conductivity-Temperature-Depth (CTD) Profiles along a water quality gradient in Aua, American Samoa from 2022-09-13 to 2022-09-23",68094,"https://www.fisheries.noaa.gov/inport/item/68094"
"","Slope Grid Derived from Gridded Bathymetry for Select U.S. Coral Reef Locations across the Pacific Ocean",12614,"https://www.fisheries.noaa.gov/inport/item/12614"
"","Structure from Motion (SfM) Coral Vital Rates Annotations derived from Fixed Site Imagery across the U.S. Pacific since 2014",63093,"https://www.fisheries.noaa.gov/inport/item/63093"
"","Structure from motion images collected during marine debris surveys at coral reef sites entangled with derelict fishing nets at Pearl and Hermes Atoll in the Northwestern Hawaiian Islands in 2018 and 2021",59423,"https://www.fisheries.noaa.gov/inport/item/59423"
"","Supporting Ecosystem-based Fisheries Management (EBFM) in meeting multiple objectives for sustainable use of coral reef ecosystem: Ecopath with Ecosim (EwE) Ecosystem Model Output Data using a social-ecological system (SES) conceptual framework",63158,"https://www.fisheries.noaa.gov/inport/item/63158"
"","The effects of elevated temperature and acidification on the biodiversity of coral reef cryptobenthic communities that recruited Autonomous Reef Monitoring Structures placed within mesocosms at the Hawaii Institute of Marine Biology between July 2016 and June 2018",61283,"https://www.fisheries.noaa.gov/inport/item/61283"
"","Towboard Benthic Habitat Images in the Pacific Ocean since 2003",10513,"https://www.fisheries.noaa.gov/inport/item/10513"
"","Towed-Diver Observations in the Main Hawaiian Islands to Assess the Mass Coral Bleaching Event in November 2015",32588,"https://www.fisheries.noaa.gov/inport/item/32588"
"","Vogetrader Long-Term Monitoring 12 years After Impact: a collection of benthic data and imagery collected to evaluate reef recovery and the efficacy of restoration efforts at the M/V VogeTrader grounding site in O'ahu, Hawaii",68077,"https://www.fisheries.noaa.gov/inport/item/68077"
"","Water Chemistry and Shallow Water Conductivity-Temperature-Depth (CTD) Profiles for select locations across Batangas, Philippines from 2012 to 2015",45817,"https://www.fisheries.noaa.gov/inport/item/45817"
"","Water chemistry at coral reef sites in Timor-Leste from discrete surface and bottom water samples collected in 2013 and 2014",46163,"https://www.fisheries.noaa.gov/inport/item/46163"
"","Water temperature data from Subsurface Temperature Recorders (STRs) deployed at coral reef sites in Timor-Leste from 2012 to 2014",46164,"https://www.fisheries.noaa.gov/inport/item/46164"
"","WorldView-2 Satellite Image Inventory for Timor-Leste",46151,"https://www.fisheries.noaa.gov/inport/item/46151"
